fips,ARG,AUS,BRA,CAN,CHN,COL,CRC,DEN,ENG,FRA,GER,HAI,ITA,JAM,JPN,KOR,MAR,NED,NZL,NGA,NOW,PAN,PHL,POR,IRL,RSA,ESP,SWE,SUI,VIE,ZAM
48051,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,37.0,105.0
08014,71.0,113.0,38.0,305.0,743.0,0.0,64.0,32.0,60.0,51.0,274.0,0.0,78.0,27.0,60.0,207.0,8.0,0.0,62.0,0.0,0.0,17.0,299.0,0.0,15.0,19.0,31.0,37.0,6.0,421.0,342.0
08047,0.0,0.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,26.0
29129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
39063,0.0,0.0,42.0,20.0,311.0,19.0,0.0,0.0,2.0,10.0,41.0,0.0,0.0,0.0,320.0,21.0,0.0,2.0,0.0,0.0,0.0,1.0,76.0,76.0,0.0,0.0,4.0,0.0,0.0,73.0,220.0
22071,94.0,52.0,370.0,612.0,1181.0,347.0,61.0,6.0,242.0,290.0,265.0,264.0,153.0,540.0,195.0,406.0,0.0,121.0,4.0,156.0,42.0,106.0,403.0,10.0,43.0,36.0,95.0,35.0,12.0,3467.0,2594.0
39097,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,52.0,0.0,19.0,0.0,76.0,72.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
08055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
47069,23.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
13137,14.0,0.0,11.0,65.0,21.0,132.0,0.0,0.0,46.0,0.0,24.0,0.0,0.0,33.0,6.0,15.0,0.0,0.0,0.0,20.0,0.0,9.0,194.0,0.0,0.0,14.0,0.0,0.0,0.0,63.0,166.0
05009,0.0,0.0,4.0,6.0,50.0,0.0,0.0,0.0,49.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,81.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,111.0
21063,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
27029,0.0,1.0,0.0,36.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0
22093,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
47113,23.0,0.0,24.0,37.0,86.0,15.0,0.0,0.0,77.0,0.0,66.0,19.0,4.0,0.0,36.0,54.0,0.0,6.0,0.0,54.0,0.0,42.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,427.0
50023,0.0,0.0,2.0,531.0,69.0,18.0,0.0,16.0,36.0,22.0,40.0,5.0,46.0,22.0,4.0,90.0,6.0,8.0,0.0,0.0,0.0,0.0,41.0,0.0,7.0,0.0,33.0,0.0,27.0,0.0,204.0
13197,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
17129,0.0,0.0,28.0,0.0,11.0,23.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
29075,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,24.0
40021,0.0,0.0,11.0,46.0,39.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,5.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0,138.0
48471,20.0,0.0,6.0,13.0,143.0,18.0,6.0,0.0,10.0,22.0,59.0,0.0,0.0,49.0,15.0,7.0,8.0,0.0,0.0,959.0,0.0,0.0,15.0,0.0,43.0,0.0,30.0,0.0,0.0,54.0,234.0
50003,10.0,0.0,0.0,55.0,108.0,6.0,0.0,0.0,53.0,9.0,96.0,0.0,15.0,15.0,5.0,5.0,0.0,5.0,0.0,8.0,0.0,0.0,24.0,0.0,15.0,20.0,12.0,0.0,0.0,16.0,120.0
48295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
48367,31.0,70.0,25.0,363.0,169.0,38.0,7.0,18.0,165.0,52.0,193.0,0.0,45.0,0.0,6.0,202.0,0.0,38.0,0.0,20.0,0.0,0.0,158.0,0.0,337.0,19.0,0.0,0.0,0.0,144.0,513.0
47019,7.0,6.0,0.0,26.0,2.0,0.0,0.0,10.0,46.0,6.0,53.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,50.0,0.0,0.0,39.0,257.0
05027,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,91.0
45069,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
41017,73.0,62.0,36.0,676.0,381.0,153.0,8.0,0.0,373.0,253.0,312.0,0.0,46.0,0.0,138.0,193.0,0.0,88.0,10.0,0.0,0.0,0.0,319.0,0.0,0.0,40.0,0.0,39.0,139.0,217.0,693.0
12083,294.0,121.0,866.0,1064.0,404.0,2137.0,68.0,30.0,572.0,79.0,925.0,1062.0,258.0,2527.0,183.0,336.0,35.0,114.0,38.0,29.0,0.0,359.0,679.0,158.0,492.0,226.0,25.0,118.0,14.0,799.0,1557.0
08059,167.0,305.0,478.0,1506.0,2007.0,347.0,95.0,84.0,885.0,348.0,1304.0,14.0,316.0,28.0,490.0,1145.0,42.0,261.0,132.0,32.0,59.0,59.0,768.0,23.0,146.0,394.0,176.0,126.0,152.0,2532.0,2068.0
30071,0.0,0.0,0.0,48.0,0.0,0.0,0.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
21157,0.0,0.0,11.0,12.0,21.0,26.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
55051,0.0,2.0,0.0,7.0,0.0,11.0,0.0,0.0,2.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0
13051,43.0,40.0,420.0,639.0,1474.0,279.0,18.0,15.0,329.0,108.0,1589.0,207.0,60.0,1074.0,64.0,570.0,28.0,51.0,6.0,56.0,12.0,176.0,1075.0,2.0,168.0,114.0,0.0,48.0,14.0,1496.0,1304.0
05019,0.0,4.0,0.0,6.0,116.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
17021,16.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,18.0,0.0,3.0,0.0,49.0,0.0,1.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,130.0
72067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01041,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0
05051,0.0,0.0,0.0,74.0,28.0,1.0,0.0,0.0,0.0,25.0,142.0,0.0,0.0,0.0,25.0,56.0,0.0,12.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,21.0,0.0,299.0,410.0
22123,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
08105,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,52.0
48245,19.0,0.0,52.0,241.0,237.0,202.0,57.0,12.0,81.0,0.0,157.0,0.0,107.0,88.0,45.0,128.0,0.0,68.0,0.0,96.0,0.0,26.0,761.0,1.0,29.0,141.0,21.0,0.0,0.0,2668.0,1227.0
27155,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
13133,0.0,7.0,57.0,21.0,6.0,9.0,0.0,24.0,23.0,0.0,44.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,112.0
37033,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,89.0
21195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,21.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
72041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47051,15.0,0.0,0.0,94.0,86.0,0.0,0.0,0.0,10.0,30.0,38.0,0.0,18.0,12.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,63.0,151.0
