county,team,pop
13095,COL,14
13095,CPV,0
13095,CRO,0
13095,CUW,0
13095,CZE,0
13095,ECU,3
13095,EGY,0
13095,ENG,0
13095,ESP,0
13095,FRA,0
13095,GER,139
13095,GHA,0
13095,HAI,7
13095,IRN,0
13095,IRQ,0
13095,JOR,0
13095,JPN,11
13095,KOR,23
13095,KSA,0
13095,MAR,0
13095,MEX,561
13095,NED,12
13095,NOR,0
13095,NZL,0
13095,PAN,15
13095,PAR,0
13095,POR,0
13095,QAT,0
13095,RSA,0
13095,SCO,0
13095,SEN,0
13095,SUI,0
13095,SWE,0
13095,TUN,0
13095,TUR,0
13095,URU,0
13095,UZB,0
48331,ALG,0
48331,ARG,0
48331,AUS,0
48331,AUT,0
48331,BEL,0
48331,BIH,0
48331,BRA,0
48331,CAN,21
48331,CIV,0
48331,COD,0
48331,COL,135
48331,CPV,0
48331,CRO,0
48331,CUW,0
48331,CZE,0
48331,ECU,0
48331,EGY,0
48331,ENG,4
48331,ESP,0
48331,FRA,9
48331,GER,15
48331,GHA,0
48331,HAI,0
48331,IRN,0
48331,IRQ,0
48331,JOR,0
48331,JPN,0
48331,KOR,0
48331,KSA,0
48331,MAR,0
48331,MEX,789
48331,NED,0
48331,NOR,0
48331,NZL,0
48331,PAN,52
48331,PAR,0
48331,POR,0
48331,QAT,0
48331,RSA,17
48331,SCO,0
48331,SEN,0
48331,SUI,0
48331,SWE,8
48331,TUN,0
48331,TUR,0
48331,URU,0
48331,UZB,0
54049,ALG,0
54049,ARG,0
54049,AUS,0
54049,AUT,4
54049,BEL,0
54049,BIH,0
54049,BRA,4
54049,CAN,0
54049,CIV,0
54049,COD,0
54049,COL,0
54049,CPV,0
54049,CRO,0
54049,CUW,0
54049,CZE,0
54049,ECU,6
54049,EGY,0
54049,ENG,17
54049,ESP,1
54049,FRA,9
54049,GER,22
54049,GHA,0
54049,HAI,3
54049,IRN,0
54049,IRQ,0
54049,JOR,0
54049,JPN,31
54049,KOR,16
54049,KSA,0
54049,MAR,0
54049,MEX,9
54049,NED,0
54049,NOR,0
54049,NZL,0
54049,PAN,0
54049,PAR,0
54049,POR,0
54049,QAT,0
54049,RSA,0
54049,SCO,4
54049,SEN,0
54049,SUI,0
54049,SWE,10
54049,TUN,0
54049,TUR,6
54049,URU,0
54049,UZB,0
46123,ALG,0
46123,ARG,0
46123,AUS,21
46123,AUT,0
46123,BEL,0
46123,BIH,0
46123,BRA,0
46123,CAN,9
46123,CIV,0
46123,COD,0
46123,COL,0
46123,CPV,0
46123,CRO,0
46123,CUW,0
46123,CZE,0
46123,ECU,0
46123,EGY,0
46123,ENG,0
46123,ESP,0
46123,FRA,0
46123,GER,0
46123,GHA,0
46123,HAI,0
46123,IRN,0
46123,IRQ,0
46123,JOR,0
46123,JPN,0
46123,KOR,0
46123,KSA,0
46123,MAR,0
46123,MEX,22
46123,NED,0
46123,NOR,0
46123,NZL,0
46123,PAN,0
46123,PAR,0
46123,POR,0
46123,QAT,0
46123,RSA,0
46123,SCO,0
46123,SEN,0
46123,SUI,0
46123,SWE,0
46123,TUN,0
46123,TUR,0
46123,URU,0
46123,UZB,0
54045,ALG,0
54045,ARG,0
54045,AUS,0
54045,AUT,0
54045,BEL,0
54045,BIH,0
54045,BRA,0
54045,CAN,0
54045,CIV,0
54045,COD,0
54045,COL,0
54045,CPV,0
54045,CRO,0
54045,CUW,0
54045,CZE,0
54045,ECU,0
54045,EGY,0
54045,ENG,0
54045,ESP,0
54045,FRA,0
54045,GER,13
54045,GHA,0
54045,HAI,0
54045,IRN,0
54045,IRQ,0
54045,JOR,0
54045,JPN,70
54045,KOR,0
54045,KSA,0
54045,MAR,0
54045,MEX,0
54045,NED,0
54045,NOR,0
54045,NZL,0
54045,PAN,0
54045,PAR,0
54045,POR,0
54045,QAT,0
54045,RSA,0
54045,SCO,0
54045,SEN,0
54045,SUI,0
54045,SWE,0
54045,TUN,0
54045,TUR,0
54045,URU,0
54045,UZB,0
13037,ALG,0
13037,ARG,0
13037,AUS,0
13037,AUT,0
13037,BEL,0
13037,BIH,0
13037,BRA,0
13037,CAN,0
13037,CIV,0
13037,COD,0
13037,COL,0
13037,CPV,0
13037,CRO,0
13037,CUW,0
13037,CZE,0
13037,ECU,0
13037,EGY,0
13037,ENG,15
13037,ESP,0
13037,FRA,0
13037,GER,0
13037,GHA,5
13037,HAI,0
13037,IRN,0
13037,IRQ,0
13037,JOR,0
13037,JPN,0
13037,KOR,0
13037,KSA,0
13037,MAR,0
13037,MEX,94
13037,NED,2
13037,NOR,0
13037,NZL,0
13037,PAN,0
13037,PAR,0
13037,POR,0
13037,QAT,0
13037,RSA,0
13037,SCO,0
13037,SEN,0
13037,SUI,0
13037,SWE,0
13037,TUN,0
13037,TUR,0
13037,URU,0
13037,UZB,0
17123,ALG,0
17123,ARG,0
17123,AUS,0
17123,AUT,0
17123,BEL,0
17123,BIH,0
17123,BRA,0
17123,CAN,0
17123,CIV,0
17123,COD,0
17123,COL,0
17123,CPV,0
17123,CRO,0
17123,CUW,0
17123,CZE,0
17123,ECU,0
17123,EGY,0
17123,ENG,0
17123,ESP,0
17123,FRA,0
17123,GER,23
17123,GHA,0
17123,HAI,0
17123,IRN,1
17123,IRQ,0
17123,JOR,0
17123,JPN,5
17123,KOR,4
17123,KSA,0
17123,MAR,0
17123,MEX,83
17123,NED,3
17123,NOR,0
17123,NZL,0
17123,PAN,0
17123,PAR,0
17123,POR,0
17123,QAT,0
17123,RSA,1
17123,SCO,0
17123,SEN,0
17123,SUI,0
17123,SWE,0
17123,TUN,0
17123,TUR,0
17123,URU,0
17123,UZB,0
26069,ALG,5
26069,ARG,0
26069,AUS,0
26069,AUT,0
26069,BEL,0
26069,BIH,0
26069,BRA,0
26069,CAN,92
26069,CIV,0
26069,COD,0
26069,COL,1
26069,CPV,0
26069,CRO,0
26069,CUW,0
26069,CZE,0
26069,ECU,0
26069,EGY,7
26069,ENG,36
26069,ESP,0
26069,FRA,2
26069,GER,82
26069,GHA,0
26069,HAI,16
26069,IRN,0
26069,IRQ,0
26069,JOR,0
26069,JPN,3
26069,KOR,55
26069,KSA,0
26069,MAR,0
26069,MEX,25
26069,NED,0
26069,NOR,0
26069,NZL,0
26069,PAN,0
26069,PAR,0
26069,POR,0
26069,QAT,0
26069,RSA,0
26069,SCO,9
26069,SEN,0
26069,SUI,0
26069,SWE,0
26069,TUN,0
26069,TUR,0
26069,URU,0
26069,UZB,0
13157,ALG,0
13157,ARG,50
13157,AUS,0
13157,AUT,3
13157,BEL,17
13157,BIH,217
13157,BRA,9
13157,CAN,103
13157,CIV,0
13157,COD,38
13157,COL,421
13157,CPV,0
13157,CRO,25
13157,CUW,0
13157,CZE,0
13157,ECU,66
13157,EGY,4
13157,ENG,0
13157,ESP,62
13157,FRA,45
13157,GER,344
13157,GHA,65
13157,HAI,0
13157,IRN,0
13157,IRQ,0
13157,JOR,0
13157,JPN,19
13157,KOR,114
13157,KSA,0
13157,MAR,0
13157,MEX,1315
13157,NED,9
13157,NOR,0
13157,NZL,49
13157,PAN,79
13157,PAR,0
13157,POR,0
13157,QAT,0
13157,RSA,263
13157,SCO,13
13157,SEN,0
13157,SUI,0
13157,SWE,0
13157,TUN,0
13157,TUR,0
13157,URU,0
13157,UZB,0
21009,ALG,0
21009,ARG,0
21009,AUS,0
21009,AUT,0
21009,BEL,0
21009,BIH,122
21009,BRA,1
21009,CAN,30
21009,CIV,0
21009,COD,0
21009,COL,4
21009,CPV,0
21009,CRO,11
21009,CUW,0
21009,CZE,0
21009,ECU,0
21009,EGY,16
21009,ENG,9
21009,ESP,0
21009,FRA,0
21009,GER,11
21009,GHA,0
21009,HAI,0
21009,IRN,0
21009,IRQ,0
21009,JOR,0
21009,JPN,140
21009,KOR,29
21009,KSA,0
21009,MAR,0
21009,MEX,376
21009,NED,0
21009,NOR,0
21009,NZL,0
21009,PAN,0
21009,PAR,0
21009,POR,0
21009,QAT,0
21009,RSA,0
21009,SCO,0
21009,SEN,0
21009,SUI,0
21009,SWE,0
21009,TUN,0
21009,TUR,0
21009,URU,0
21009,UZB,0
48199,ALG,0
48199,ARG,0
48199,AUS,0
48199,AUT,0
48199,BEL,0
48199,BIH,0
48199,BRA,26
48199,CAN,59
48199,CIV,0
48199,COD,0
48199,COL,12
48199,CPV,0
48199,CRO,0
48199,CUW,19
48199,CZE,0
48199,ECU,0
48199,EGY,0
48199,ENG,0
48199,ESP,0
48199,FRA,0
48199,GER,76
48199,GHA,0
48199,HAI,0
48199,IRN,0
48199,IRQ,0
48199,JOR,0
48199,JPN,0
48199,KOR,0
48199,KSA,0
48199,MAR,0
48199,MEX,247
48199,NED,0
48199,NOR,0
48199,NZL,0
48199,PAN,34
48199,PAR,0
48199,POR,0
48199,QAT,0
48199,RSA,43
48199,SCO,0
48199,SEN,0
48199,SUI,0
48199,SWE,0
48199,TUN,0
48199,TUR,0
48199,URU,0
48199,UZB,0
49011,ALG,0
49011,ARG,224
49011,AUS,170
49011,AUT,24
49011,BEL,0
49011,BIH,0
49011,BRA,539
49011,CAN,515
49011,CIV,0
49011,COD,4
49011,COL,378
49011,CPV,0
49011,CRO,39
49011,CUW,0
49011,CZE,0
49011,ECU,28
49011,EGY,10
49011,ENG,298
49011,ESP,319
49011,FRA,21
49011,GER,756
49011,GHA,62
49011,HAI,108
49011,IRN,52
49011,IRQ,209
49011,JOR,35
49011,JPN,207
49011,KOR,415
49011,KSA,29
49011,MAR,0
49011,MEX,5807
49011,NED,81
49011,NOR,8
49011,NZL,233
49011,PAN,94
49011,PAR,0
49011,POR,14
49011,QAT,0
49011,RSA,195
49011,SCO,66
49011,SEN,0
49011,SUI,45
49011,SWE,0
49011,TUN,0
49011,TUR,23
49011,URU,20
49011,UZB,32
39023,ALG,36
39023,ARG,0
39023,AUS,0
39023,AUT,0
39023,BEL,0
39023,BIH,0
39023,BRA,0
39023,CAN,37
39023,CIV,0
39023,COD,0
39023,COL,24
39023,CPV,5
39023,CRO,0
39023,CUW,19
39023,CZE,13
39023,ECU,0
39023,EGY,0
39023,ENG,71
39023,ESP,20
39023,FRA,12
39023,GER,234
39023,GHA,0
39023,HAI,1052
39023,IRN,4
39023,IRQ,0
39023,JOR,0
39023,JPN,53
39023,KOR,42
39023,KSA,0
39023,MAR,0
39023,MEX,682
39023,NED,4
39023,NOR,0
39023,NZL,0
39023,PAN,7
39023,PAR,0
39023,POR,0
39023,QAT,0
39023,RSA,0
39023,SCO,12
39023,SEN,15
39023,SUI,7
39023,SWE,0
39023,TUN,0
39023,TUR,0
39023,URU,0
39023,UZB,0
37077,ALG,0
37077,ARG,0
37077,AUS,0
37077,AUT,0
37077,BEL,11
37077,BIH,0
37077,BRA,21
37077,CAN,147
37077,CIV,0
37077,COD,0
37077,COL,105
37077,CPV,0
37077,CRO,0
37077,CUW,0
37077,CZE,0
37077,ECU,40
37077,EGY,0
37077,ENG,23
37077,ESP,0
37077,FRA,0
37077,GER,24
37077,GHA,0
37077,HAI,0
37077,IRN,0
37077,IRQ,0
37077,JOR,0
37077,JPN,0
37077,KOR,0
37077,KSA,12
37077,MAR,0
37077,MEX,1810
37077,NED,0
37077,NOR,0
37077,NZL,0
37077,PAN,5
37077,PAR,0
37077,POR,0
37077,QAT,0
37077,RSA,0
37077,SCO,34
37077,SEN,0
37077,SUI,8
37077,SWE,0
37077,TUN,0
37077,TUR,24
37077,URU,0
37077,UZB,15
22089,ALG,0
22089,ARG,0
22089,AUS,0
22089,AUT,0
22089,BEL,0
22089,BIH,0
22089,BRA,0
22089,CAN,11
22089,CIV,0
22089,COD,0
22089,COL,9
22089,CPV,0
22089,CRO,0
22089,CUW,0
22089,CZE,0
