fips,ALG,ARG,AUS,AUT,BEL,BIH,BRA,CAN,CIV,COD,COL,CPV,CRO,CUW,CZE,ECU,EGY,ENG,ESP,FRA,GER,GHA,HAI,IRN,IRQ,JOR,JPN,KOR,KSA,MAR,MEX,NED,NOR,NZL,PAN,PAR,POR,QAT,RSA,SCO,SEN,SUI,SWE,TUN,TUR,URU,UZB
56003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,204.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,691.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26005,0.0,45.0,0.0,2.0,27.0,11.0,17.0,155.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,129.0,3.0,7.0,14.0,0.0,0.0,57.0,49.0,13.0,0.0,1860.0,148.0,0.0,5.0,77.0,0.0,0.0,0.0,40.0,21.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0
48171,0.0,61.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37179,0.0,47.0,53.0,0.0,0.0,189.0,537.0,668.0,0.0,137.0,876.0,18.0,0.0,40.0,47.0,544.0,55.0,382.0,327.0,61.0,269.0,305.0,164.0,65.0,0.0,135.0,49.0,279.0,15.0,6.0,6627.0,27.0,16.0,0.0,21.0,0.0,22.0,27.0,319.0,84.0,0.0,18.0,12.0,3.0,93.0,0.0,19.0
36067,0.0,102.0,21.0,17.0,21.0,1006.0,257.0,1457.0,121.0,368.0,541.0,23.0,40.0,34.0,45.0,264.0,207.0,202.0,122.0,292.0,828.0,246.0,455.0,325.0,1014.0,209.0,85.0,653.0,105.0,16.0,424.0,36.0,26.0,11.0,65.0,0.0,66.0,30.0,100.0,75.0,0.0,52.0,99.0,0.0,251.0,9.0,98.0
04011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21151,0.0,0.0,0.0,11.0,0.0,0.0,0.0,92.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,111.0,6.0,27.0,0.0,0.0,16.0,31.0,26.0,0.0,0.0,595.0,0.0,0.0,7.0,29.0,0.0,7.0,0.0,36.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0
42107,0.0,0.0,25.0,0.0,5.0,0.0,0.0,91.0,0.0,0.0,101.0,27.0,0.0,0.0,0.0,30.0,0.0,12.0,11.0,5.0,231.0,0.0,7.0,0.0,0.0,0.0,0.0,40.0,0.0,13.0,458.0,11.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,290.0,17.0,0.0
13145,0.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,0.0,20.0,51.0,0.0,0.0,9.0,0.0,0.0,0.0,25.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,3.0,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01113,0.0,13.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,73.0,80.0,0.0,0.0,0.0,14.0,0.0,12.0,0.0,0.0,163.0,0.0,14.0,0.0,0.0,0.0,4.0,81.0,0.0,0.0,269.0,0.0,0.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
13219,0.0,0.0,6.0,12.0,0.0,6.0,11.0,131.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,127.0,13.0,13.0,17.0,64.0,49.0,0.0,32.0,0.0,0.0,57.0,339.0,0.0,4.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
31137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50025,0.0,0.0,1.0,16.0,36.0,0.0,10.0,111.0,0.0,0.0,34.0,0.0,0.0,3.0,19.0,0.0,2.0,81.0,5.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,27.0,65.0,0.0,0.0,20.0,12.0,5.0,5.0,9.0,0.0,16.0,0.0,16.0,16.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0
20123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21093,0.0,0.0,15.0,3.0,7.0,0.0,0.0,135.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,25.0,978.0,0.0,3.0,0.0,0.0,4.0,41.0,543.0,0.0,0.0,433.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,27.0
39021,0.0,0.0,35.0,0.0,0.0,0.0,7.0,73.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,57.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
54051,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21135,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40125,0.0,0.0,30.0,0.0,0.0,15.0,5.0,71.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,13.0,35.0,0.0,0.0,132.0,0.0,0.0,5.0,13.0,0.0,18.0,3.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56015,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
