county,team,pop
23003,ZAF,2
23003,ESP,15
23003,SWE,6
23003,SUI,0
23003,VNM,8
23003,ZMB,264
51760,ARG,43
51760,AUS,50
51760,BRA,236
51760,CAN,240
51760,CHN,568
51760,COL,113
51760,CRC,91
51760,DEN,9
51760,ENG,169
51760,FRA,124
51760,GER,217
51760,HTI,156
51760,ITA,147
51760,JAM,349
51760,JPN,17
51760,KOR,307
51760,MAR,0
51760,NED,38
51760,NZL,4
51760,NGA,41
51760,NOW,0
51760,PAN,35
51760,PHL,156
51760,POR,25
51760,IRL,15
51760,ZAF,32
51760,ESP,31
51760,SWE,8
51760,SUI,14
51760,VNM,170
51760,ZMB,1017
54099,ARG,0
54099,AUS,13
54099,BRA,0
54099,CAN,0
54099,CHN,5
54099,COL,0
54099,CRC,0
54099,DEN,0
54099,ENG,0
54099,FRA,0
54099,GER,2
54099,HTI,0
54099,ITA,0
54099,JAM,0
54099,JPN,102
54099,KOR,0
54099,MAR,0
54099,NED,6
54099,NZL,0
54099,NGA,0
54099,NOW,0
54099,PAN,0
54099,PHL,0
54099,POR,17
54099,IRL,0
54099,ZAF,0
54099,ESP,0
54099,SWE,0
54099,SUI,0
54099,VNM,6
54099,ZMB,148
37069,ARG,43
37069,AUS,0
37069,BRA,0
37069,CAN,15
37069,CHN,29
37069,COL,14
37069,CRC,0
37069,DEN,0
37069,ENG,163
37069,FRA,0
37069,GER,93
37069,HTI,0
37069,ITA,17
37069,JAM,0
37069,JPN,5
37069,KOR,40
37069,MAR,0
37069,NED,5
37069,NZL,0
37069,NGA,31
37069,NOW,0
37069,PAN,0
37069,PHL,40
37069,POR,0
37069,IRL,0
37069,ZAF,1
37069,ESP,0
37069,SWE,0
37069,SUI,0
37069,VNM,9
37069,ZMB,254
21197,ARG,0
21197,AUS,0
21197,BRA,0
21197,CAN,0
21197,CHN,0
21197,COL,0
21197,CRC,0
21197,DEN,0
21197,ENG,0
21197,FRA,0
21197,GER,0
21197,HTI,0
21197,ITA,0
21197,JAM,0
21197,JPN,0
21197,KOR,0
21197,MAR,0
21197,NED,0
21197,NZL,0
21197,NGA,0
21197,NOW,0
21197,PAN,0
21197,PHL,0
21197,POR,0
21197,IRL,0
21197,ZAF,0
21197,ESP,0
21197,SWE,0
21197,SUI,0
21197,VNM,0
21197,ZMB,48
18105,ARG,26
18105,AUS,0
18105,BRA,69
18105,CAN,217
18105,CHN,2702
18105,COL,50
18105,CRC,9
18105,DEN,52
18105,ENG,15
18105,FRA,45
18105,GER,445
18105,HTI,86
18105,ITA,40
18105,JAM,0
18105,JPN,211
18105,KOR,878
18105,MAR,0
18105,NED,88
18105,NZL,0
18105,NGA,39
18105,NOW,1
18105,PAN,4
18105,PHL,569
18105,POR,25
18105,IRL,58
18105,ZAF,46
18105,ESP,75
18105,SWE,0
18105,SUI,7
18105,VNM,246
18105,ZMB,479
72079,ARG,0
72079,AUS,0
72079,BRA,0
72079,CAN,0
72079,CHN,0
72079,COL,0
72079,CRC,0
72079,DEN,0
72079,ENG,0
72079,FRA,0
72079,GER,0
72079,HTI,0
72079,ITA,0
72079,JAM,0
72079,JPN,0
72079,KOR,0
72079,MAR,0
72079,NED,0
72079,NZL,0
72079,NGA,0
72079,NOW,0
72079,PAN,0
72079,PHL,0
72079,POR,0
72079,IRL,0
72079,ZAF,0
72079,ESP,0
72079,SWE,0
72079,SUI,0
72079,VNM,0
72079,ZMB,0
13213,ARG,0
13213,AUS,13
13213,BRA,0
13213,CAN,0
13213,CHN,0
13213,COL,0
13213,CRC,0
13213,DEN,0
13213,ENG,0
13213,FRA,0
13213,GER,0
13213,HTI,0
13213,ITA,0
13213,JAM,0
13213,JPN,0
13213,KOR,0
13213,MAR,0
13213,NED,0
13213,NZL,0
13213,NGA,0
13213,NOW,0
13213,PAN,0
13213,PHL,0
13213,POR,0
13213,IRL,0
13213,ZAF,0
13213,ESP,0
13213,SWE,0
13213,SUI,0
13213,VNM,33
13213,ZMB,152
24035,ARG,23
24035,AUS,11
24035,BRA,19
24035,CAN,13
24035,CHN,132
24035,COL,5
24035,CRC,0
24035,DEN,6
24035,ENG,22
24035,FRA,0
24035,GER,89
24035,HTI,0
24035,ITA,65
24035,JAM,9
24035,JPN,30
24035,KOR,88
24035,MAR,13
24035,NED,25
24035,NZL,0
24035,NGA,22
24035,NOW,0
24035,PAN,20
24035,PHL,132
24035,POR,10
24035,IRL,10
24035,ZAF,52
24035,ESP,35
24035,SWE,0
24035,SUI,0
24035,VNM,0
24035,ZMB,212
13171,ARG,0
13171,AUS,0
13171,BRA,0
13171,CAN,3
13171,CHN,17
13171,COL,0
13171,CRC,0
13171,DEN,0
13171,ENG,0
13171,FRA,8
13171,GER,0
13171,HTI,0
13171,ITA,0
13171,JAM,30
13171,JPN,0
13171,KOR,9
13171,MAR,0
13171,NED,0
13171,NZL,0
13171,NGA,23
13171,NOW,0
13171,PAN,104
13171,PHL,0
13171,POR,0
13171,IRL,0
13171,ZAF,0
13171,ESP,0
13171,SWE,0
13171,SUI,0
13171,VNM,11
13171,ZMB,62
40019,ARG,0
40019,AUS,0
40019,BRA,135
40019,CAN,29
40019,CHN,56
40019,COL,0
40019,CRC,0
40019,DEN,0
40019,ENG,22
40019,FRA,4
40019,GER,73
40019,HTI,0
40019,ITA,0
40019,JAM,10
40019,JPN,0
40019,KOR,54
40019,MAR,0
40019,NED,0
40019,NZL,0
40019,NGA,0
40019,NOW,0
40019,PAN,0
40019,PHL,53
40019,POR,0
40019,IRL,0
40019,ZAF,5
40019,ESP,14
40019,SWE,0
40019,SUI,0
40019,VNM,68
40019,ZMB,164
48163,ARG,0
48163,AUS,0
48163,BRA,11
48163,CAN,33
48163,CHN,0
48163,COL,0
48163,CRC,0
48163,DEN,0
48163,ENG,10
48163,FRA,0
48163,GER,0
48163,HTI,0
48163,ITA,0
48163,JAM,0
48163,JPN,0
48163,KOR,5
48163,MAR,0
48163,NED,0
48163,NZL,0
48163,NGA,0
48163,NOW,0
48163,PAN,0
48163,PHL,0
48163,POR,0
48163,IRL,5
48163,ZAF,0
48163,ESP,0
48163,SWE,0
48163,SUI,0
48163,VNM,0
48163,ZMB,90
37057,ARG,0
37057,AUS,0
37057,BRA,10
37057,CAN,273
37057,CHN,123
37057,COL,480
37057,CRC,0
37057,DEN,4
37057,ENG,17
37057,FRA,26
37057,GER,218
37057,HTI,0
37057,ITA,35
37057,JAM,78
37057,JPN,0
37057,KOR,185
37057,MAR,0
37057,NED,12
37057,NZL,0
37057,NGA,8
37057,NOW,0
37057,PAN,26
37057,PHL,417
37057,POR,0
37057,IRL,15
37057,ZAF,0
37057,ESP,0
37057,SWE,0
37057,SUI,0
37057,VNM,315
37057,ZMB,633
13275,ARG,0
13275,AUS,0
13275,BRA,0
13275,CAN,38
13275,CHN,63
13275,COL,43
13275,CRC,0
13275,DEN,0
13275,ENG,10
13275,FRA,4
13275,GER,23
13275,HTI,9
13275,ITA,4
13275,JAM,10
13275,JPN,0
13275,KOR,50
13275,MAR,2
13275,NED,0
13275,NZL,0
13275,NGA,9
13275,NOW,0
13275,PAN,0
13275,PHL,57
13275,POR,0
13275,IRL,0
13275,ZAF,14
13275,ESP,0
13275,SWE,0
13275,SUI,0
13275,VNM,19
13275,ZMB,202
54049,ARG,0
54049,AUS,0
54049,BRA,0
54049,CAN,20
54049,CHN,29
54049,COL,0
54049,CRC,11
54049,DEN,0
54049,ENG,13
54049,FRA,0
54049,GER,32
54049,HTI,3
54049,ITA,16
54049,JAM,0
54049,JPN,55
54049,KOR,7
54049,MAR,0
54049,NED,0
54049,NZL,0
54049,NGA,10
54049,NOW,0
54049,PAN,0
54049,PHL,22
54049,POR,0
54049,IRL,0
54049,ZAF,0
54049,ESP,1
54049,SWE,0
54049,SUI,0
54049,VNM,0
54049,ZMB,273
19071,ARG,0
19071,AUS,0
19071,BRA,0
19071,CAN,2
19071,CHN,0
19071,COL,0
19071,CRC,0
19071,DEN,0
19071,ENG,0
19071,FRA,0
19071,GER,3
19071,HTI,0
19071,ITA,0
19071,JAM,0
19071,JPN,0
19071,KOR,0
19071,MAR,0
19071,NED,0
19071,NZL,0
19071,NGA,0
19071,NOW,0
19071,PAN,0
19071,PHL,0
19071,POR,0
19071,IRL,0
19071,ZAF,0
19071,ESP,0
19071,SWE,0
19071,SUI,0
19071,VNM,0
19071,ZMB,30
30017,ARG,0
30017,AUS,3
30017,BRA,0
30017,CAN,13
30017,CHN,6
30017,COL,0
30017,CRC,0
30017,DEN,0
30017,ENG,4
30017,FRA,0
30017,GER,3
30017,HTI,0
30017,ITA,0
30017,JAM,0
30017,JPN,23
30017,KOR,2
30017,MAR,0
30017,NED,0
30017,NZL,0
30017,NGA,0
30017,NOW,2
30017,PAN,0
30017,PHL,4
30017,POR,0
30017,IRL,0
30017,ZAF,11
30017,ESP,0
30017,SWE,0
30017,SUI,0
30017,VNM,26
30017,ZMB,66
48113,ARG,1624
48113,AUS,382
48113,BRA,2078
48113,CAN,3816
